S.No.,DISTRICT,Column3,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,Total,Monsoon,Non-Monsoon
35,JHANSI,,15.3,12.5,6.5,3.3,7.2,88.1,283.9,303.7,171.3,34,6.2,6.1,938.1,847,91.1
36,JYOTIBA PHULE NAGAR,,24.7,20.5,15,5.6,13.8,60.5,301.2,295.5,157.4,45.9,4.3,7.7,952.1,814.6,137.5
37,KANNAUJ,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,KANPUR DEHAT,,15.7,14.3,7.1,4.8,7.4,76.3,228.5,271.7,150.3,39,2.5,5.7,823.3,726.8,96.5
39,KANPUR NAGAR,,19,12.9,6.9,2.7,7.5,58.8,241.1,283.7,157.5,48,2,6.4,846.5,741.1,105.4
40,KANSIRAM NAGAR,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,KAUSHAMBI,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,KHERI,,23.7,16.4,13.1,7.3,29.4,132.2,318.9,310.1,198.8,65.6,1.9,7.3,1124.7,960,164.7
43,KUSHINAGAR,,18.6,12.7,11.1,15.8,41.9,173.2,372.4,354.6,238.5,74.6,3.3,7,1323.7,1138.7,185
44,LALITPUR,,24.3,12.1,7.8,3.3,6.7,93,346,341.7,173.3,31.2,14.1,8.6,1062.1,954,108.1
45,LUCKNOW,,20.3,13.3,7.9,5,12.4,81.7,276.2,278.8,175.9,47.9,1.4,6.2,927,812.6,114.4
46,MAHAMAYA NAGAR,,13.3,11.9,8.8,3.7,10.2,46.8,212.4,249.8,132.1,25.7,2.1,4.5,721.3,641.1,80.2
47,MAHARAJGANJ,,20.1,14.2,15.1,17.2,42.6,180.7,431.7,371,251.6,85.2,2.2,5.3,1436.9,1235,201.9
48,MAHOBA,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,MAINPURI,,13.6,10.2,8.7,4,10.7,59.1,218,253.2,140.5,35.5,3.1,5.9,762.5,670.8,91.7
50,MATHURA,,10.8,9.3,7.3,2.7,7.5,30.2,188.3,215.7,99.8,18.9,2.4,2.7,595.6,534,61.6
51,MAU,,18.5,11.2,9.3,5.3,19,117.3,336.6,312.5,226.4,50.2,6.4,4.6,1117.3,992.8,124.5
52,MEERUT,,24.1,20.6,15.9,9.3,14.2,61.6,271.8,279.8,153.2,39.3,4.5,10.4,904.7,766.4,138.3
53,MIRZAPUR,,18.3,13.5,7.1,2.5,8,83.2,268.6,295.5,192.1,33.7,8.4,2.6,933.5,839.4,94.1
54,MORADABAD,,23,20.2,13.6,6.3,15.9,79.7,306.7,302.8,158,47.7,3.4,8.9,986.2,847.2,139
55,MUZAFFARNAGAR,,25,20.8,13.9,5.3,11.5,54.2,257.4,257.4,142.6,31.2,4.5,9.9,833.7,711.6,122.1
56,PILIBHIT,,25,18,13.6,5.2,20,116,333.8,334.8,186.9,65.6,3.6,7,1129.5,971.5,158
57,PRATAPGARH,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,PRAYAGRAJ,,19.8,14.4,8.2,3.6,6.7,80.1,269.1,303.1,170.8,31.4,7.9,4.8,919.9,823.1,96.8
59,RAE BARELI,,18.9,13.1,7.6,3.5,7.5,69.3,287.5,292.6,179.7,60,1.4,8,949.1,829.1,120
60,RAMPUR,,22,21.8,19.1,8.7,25.3,116.4,364.2,330.1,154.4,39,4.9,11.2,1117.1,965.1,152
61,SAHARANPUR,,31,26.2,20.3,5.5,15.6,79.9,268.9,282.1,133.1,32,5.4,12.2,912.2,764,148.2
62,SANT KABIR NAGAR,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,"SANT RAVI DAS
NAGAR(BHADOHI)",,19.3,14.9,9.6,5.7,9.8,86.2,299.7,301.4,187.3,37,9.3,3.2,983.4,874.6,108.8
64,SHAHJAHANPUR,,19,15.7,12,5.1,18.6,92.3,294.2,306.9,158.1,63,2.6,6.5,994,851.5,142.5
65,SHRAWASTI,,24.3,15.1,12.1,7.9,27.6,145,337.4,286,216.2,62.9,1.7,7.5,1143.7,984.6,159.1
66,SIDDHARTH NAGAR,,17.7,13.8,11.5,9.8,30.6,150.7,391.8,316.9,205.1,67.6,1,7.3,1223.8,1064.5,159.3
67,SITAPUR,,21.3,10.9,12.3,5.6,15.1,101.9,270.5,283.4,190.3,62.3,2,5.9,981.5,846.1,135.4
68,SONBHADRA,,23.4,19.3,13,5.8,13.2,121.9,308.2,318.1,205.1,40.2,8.7,5.9,1082.8,953.3,129.5
69,SULTANPUR,,16,12.7,8.1,5.4,13.9,81.1,324.6,298.1,198.7,41.2,2.6,6.2,1008.6,902.5,106.1
70,UNNAO,,16.5,15.4,7,2.8,10.6,75.4,264.5,289.1,176.8,51.1,1.7,7.1,918,805.8,112.2
71,VARANASI,,17.8,13.8,9,5.2,10.5,81.9,291.4,263.6,204.9,33.4,9.6,4,945.1,841.8,103.3
