-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 01/01/2021 
Location: Latitude  27.5706   Longitude 80.0982 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 142.28 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
YEAR,MO,DY,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,T2M,TS,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_LW_DWN
2020,1,30,-258.99,21.26,7.09,5.74,65.38,0.0,13.05,13.08,0.66,0.9,0.18,9.77,307.88
2020,1,31,-257.65,21.19,5.69,4.94,58.88,0.01,12.46,12.16,0.66,0.95,0.2,9.96,299.17
2020,2,1,-257.85,20.87,5.57,5.0,58.75,0.0,12.26,12.0,0.62,0.84,0.17,8.78,305.05
2020,2,2,-256.95,21.51,5.3,4.7,57.88,0.0,11.97,11.76,0.66,1.02,0.2,9.83,298.41
2020,2,3,-256.64,21.16,4.65,4.88,57.5,0.0,12.94,11.47,0.62,0.97,0.2,9.29,306.07
2020,2,4,-260.2,20.89,7.94,4.33,44.0,0.0,14.29,11.76,0.6,-999.0,0.18,8.88,303.95
2020,2,5,-256.52,22.67,6.05,4.94,54.88,0.0,13.25,12.87,0.66,-999.0,0.18,9.9,297.77
2020,2,6,-257.14,21.95,5.94,5.0,54.44,0.0,13.69,12.93,0.62,-999.0,0.17,8.92,298.23
2020,2,7,-260.12,21.42,8.39,4.94,52.94,0.0,13.62,12.73,0.6,0.78,0.16,8.82,302.62
2020,2,8,-257.23,21.08,5.15,4.52,52.56,0.0,12.8,11.96,0.62,-999.0,0.17,9.17,294.55
2020,2,9,-257.19,22.76,6.8,4.88,51.81,0.0,14.26,12.86,0.62,0.79,0.16,9.21,301.69
2020,2,10,-255.77,23.12,5.73,4.64,48.88,0.0,14.24,12.91,0.66,0.91,0.18,9.95,298.97
2020,2,11,-256.48,23.46,6.79,4.76,48.56,0.0,14.62,13.19,0.64,1.01,0.2,9.93,305.34
2020,2,12,-254.77,24.81,6.42,5.31,53.5,0.0,14.9,14.49,0.62,0.98,0.2,9.71,316.95
2020,2,13,-253.15,29.08,9.08,6.9,56.5,0.0,17.61,17.58,0.62,-999.0,0.2,9.91,328.33
2020,2,14,-256.18,28.64,11.67,6.71,53.44,0.0,18.56,18.49,0.66,1.14,0.23,11.04,321.42
2020,2,15,-256.23,25.55,8.63,5.31,46.75,0.0,16.76,16.06,0.71,1.23,0.25,11.84,305.25
2020,2,16,-254.49,26.68,8.01,4.64,41.12,0.0,17.23,15.94,0.67,1.11,0.23,10.98,313.34
2020,2,17,-254.75,27.37,8.97,4.76,42.88,0.0,17.03,16.01,0.62,1.01,0.2,9.87,327.28
2020,2,18,-252.56,27.2,6.62,4.21,39.94,0.0,16.38,15.4,0.68,1.05,0.21,11.12,305.72
2020,2,19,-255.65,27.32,9.82,4.76,39.19,0.0,17.93,16.73,0.6,0.93,0.19,9.69,322.52
2020,2,20,-257.43,27.32,11.6,5.86,47.12,0.0,18.44,18.2,0.52,0.84,0.16,8.88,352.62
2020,2,21,-262.25,23.17,12.27,7.08,61.75,5.95,16.62,16.55,0.45,0.62,0.12,6.97,371.66
2020,2,22,-260.02,24.6,11.48,8.54,70.0,0.97,17.87,18.19,0.39,0.48,0.1,5.62,369.15
2020,2,23,-260.49,26.55,13.89,9.09,67.5,1.51,19.39,19.98,0.46,0.72,0.14,7.18,359.22
2020,2,24,-261.2,25.77,13.83,9.64,68.94,2.78,19.91,19.94,0.48,0.65,0.13,6.98,353.28
2020,2,25,-263.84,24.11,14.8,9.09,68.0,2.35,18.82,18.67,0.43,0.59,0.12,6.62,352.4
2020,2,26,-259.01,25.84,11.7,8.67,68.62,0.01,18.48,19.47,0.58,0.98,0.2,10.24,338.95
2020,2,27,-259.76,25.3,11.9,8.3,65.38,0.0,18.52,18.57,0.46,0.9,0.18,8.2,346.62
2020,2,28,-259.46,26.25,12.57,8.06,61.44,0.0,18.98,19.35,0.49,0.98,0.2,8.99,350.84
2020,2,29,-260.17,28.37,15.39,8.85,58.12,0.63,21.17,21.55,0.61,1.2,0.24,11.48,358.33
2020,3,1,-258.38,29.21,14.44,9.64,66.12,0.04,21.01,21.73,0.62,1.16,0.23,11.7,358.48
2020,3,2,-258.92,29.33,15.1,8.79,57.94,0.0,21.55,21.65,0.62,-999.0,0.27,11.98,350.03
2020,3,3,-258.27,30.51,15.62,8.24,50.75,0.0,22.64,22.51,0.65,1.31,0.26,12.05,348.66
2020,3,4,-257.76,30.4,15.01,8.0,49.56,0.23,22.48,22.96,0.54,1.19,0.23,10.34,360.85
2020,3,5,-260.4,28.55,15.79,8.73,56.81,4.22,21.35,21.66,0.35,0.72,0.14,6.6,375.23
2020,3,6,-262.01,26.26,15.12,10.68,73.38,17.99,20.14,20.29,0.33,0.77,0.15,6.39,376.88
2020,3,7,-260.83,27.28,14.96,9.34,65.44,1.64,20.61,20.6,0.45,1.09,0.22,9.24,364.16
2020,3,8,-257.74,28.39,12.98,7.69,57.19,0.0,19.79,20.27,0.7,-999.0,0.31,13.91,330.66
2020,3,9,-255.34,28.93,11.12,6.53,51.44,0.0,19.3,19.56,0.65,-999.0,0.28,12.97,316.44
2020,3,10,-254.92,29.03,10.8,6.47,51.0,0.06,19.18,20.13,0.62,1.36,0.27,12.67,343.44
2020,3,11,-261.17,27.54,15.56,9.95,64.5,0.14,21.02,21.61,0.54,1.2,0.24,11.01,363.74
2020,3,12,-258.54,30.41,15.8,10.56,64.31,2.53,22.78,23.47,0.64,1.46,0.29,13.17,369.95
2020,3,13,-259.54,27.51,13.9,10.93,68.94,12.33,21.51,21.6,0.45,1.04,0.2,9.41,380.79
2020,3,14,-256.67,28.66,12.17,8.3,60.75,2.21,20.51,20.61,0.49,1.06,0.21,10.21,365.63
2020,3,15,-260.81,26.2,13.87,8.54,61.56,4.32,19.81,19.98,0.48,0.97,0.2,10.2,351.9
2020,3,16,-258.41,27.09,12.35,7.26,52.12,0.02,20.26,20.08,0.5,1.28,0.26,11.52,335.73
2020,3,17,-255.13,30.12,12.1,7.32,50.25,0.0,21.02,21.36,0.7,-999.0,0.33,14.7,326.84
2020,3,18,-254.38,31.45,12.69,7.69,49.75,0.0,22.09,22.27,0.68,-999.0,0.32,14.43,338.7
2020,3,19,-256.21,32.14,15.2,8.48,50.19,0.0,23.69,23.52,0.66,1.49,0.3,14.27,351.9
2020,3,20,-258.71,31.01,16.58,8.18,46.19,0.0,23.75,23.09,0.61,1.3,0.27,12.94,364.05
2020,3,21,-260.27,32.12,19.25,8.06,43.19,0.08,24.89,24.48,0.58,1.3,0.26,12.38,372.29
2020,3,22,-259.49,32.79,19.13,8.54,45.06,0.0,25.08,25.32,0.61,1.27,0.26,12.81,363.74
2020,3,23,-256.09,33.19,16.12,8.3,46.75,0.0,24.69,25.29,0.64,1.39,0.28,13.48,368.2
2020,3,24,-258.32,34.51,19.69,9.16,44.12,0.05,26.47,26.32,0.59,1.48,0.3,13.14,383.68
2020,3,25,-256.56,35.46,18.87,8.79,43.88,0.0,26.59,27.01,0.66,1.82,0.36,15.07,379.58
2020,3,26,-257.91,34.0,18.76,8.91,45.12,0.12,26.01,26.38,0.65,1.95,0.38,15.2,377.24
2020,3,27,-258.23,34.82,19.9,9.7,47.94,0.31,26.41,27.52,0.2,0.66,0.13,5.16,406.02
2020,3,28,-258.63,33.22,18.69,8.73,47.12,0.98,24.98,25.8,0.69,2.02,0.4,16.28,380.63
2020,3,29,-255.42,33.97,16.23,7.08,40.81,0.0,24.41,24.94,0.71,2.06,0.41,16.51,352.21
2020,3,30,-254.74,34.08,15.68,6.9,40.69,0.0,24.3,24.81,0.71,-999.0,0.38,16.23,341.52
2020,3,31,-253.17,36.24,16.26,7.69,40.81,0.0,26.05,26.8,0.71,2.02,0.4,16.38,345.19
2020,4,1,-255.81,37.62,20.29,8.36,38.0,0.0,28.45,29.26,0.68,2.09,0.41,16.01,379.3
2020,4,2,-257.42,35.3,19.57,7.69,38.12,0.0,26.8,27.87,0.69,2.08,0.41,16.45,360.43
2020,4,3,-256.58,33.89,17.32,6.29,35.94,0.0,24.76,25.48,0.73,2.04,0.41,17.08,343.08
2020,4,4,-253.7,35.0,15.55,6.1,35.12,0.0,24.94,25.66,0.71,2.09,0.41,16.75,342.22
2020,4,5,-253.97,36.03,16.86,6.9,35.56,0.0,26.41,27.12,0.7,-999.0,0.4,16.46,355.23
2020,4,6,-254.77,37.49,19.11,7.14,33.0,0.0,27.98,28.59,0.7,2.13,0.42,17.07,371.12
2020,4,7,-254.03,37.9,18.79,7.14,33.38,0.0,28.03,28.61,0.73,2.09,0.41,17.04,351.12
2020,4,8,-256.35,37.4,20.61,7.75,34.5,0.0,28.47,29.23,0.54,1.64,0.33,13.1,381.7
2020,4,9,-256.79,35.9,19.53,7.14,34.31,0.0,27.37,28.4,0.71,2.07,0.41,17.18,366.29
2020,4,10,-255.68,36.91,19.45,7.63,35.12,0.0,28.04,28.99,0.69,2.08,0.41,16.59,368.71
2020,4,11,-255.07,39.53,21.44,7.81,31.69,0.0,30.15,30.9,0.67,1.84,0.37,16.24,384.07
2020,4,12,-254.68,39.37,20.9,8.18,33.81,0.0,29.91,30.77,0.69,1.93,0.38,16.7,377.85
2020,4,13,-254.29,40.33,21.47,8.73,33.44,0.0,31.17,32.1,0.69,2.0,0.4,16.67,380.62
2020,4,14,-257.66,40.64,25.15,9.95,34.38,0.0,32.55,33.29,0.56,1.61,0.32,13.38,408.79
2020,4,15,-257.67,41.73,26.24,8.3,28.75,0.0,32.84,33.09,0.55,1.59,0.32,12.98,412.96
2020,4,16,-254.95,41.51,23.3,7.51,27.12,0.0,32.05,33.24,0.63,1.88,0.38,15.51,396.12
2020,4,17,-261.27,36.73,24.85,7.81,29.81,0.01,30.51,30.32,0.5,1.61,0.32,12.33,400.92
2020,4,18,-256.38,39.9,23.12,8.3,31.12,1.22,31.15,32.02,0.62,1.95,0.38,15.4,394.16
2020,4,19,-257.99,38.94,23.77,8.79,32.62,0.04,31.21,32.5,0.58,1.65,0.33,14.12,388.8
2020,4,20,-257.42,38.4,22.67,9.09,40.31,0.27,28.47,30.37,0.33,1.01,0.2,8.91,408.09
2020,4,21,-258.69,35.56,21.1,10.01,44.44,3.26,28.41,30.59,0.66,1.94,0.38,16.52,385.1
2020,4,22,-259.27,37.26,23.37,8.67,36.12,0.03,29.57,31.76,0.65,2.05,0.41,16.3,382.91
2020,4,23,-258.7,37.01,22.55,7.63,33.62,0.0,28.62,29.2,0.45,1.52,0.3,11.71,404.95
2020,4,24,-255.6,38.37,20.82,8.24,33.75,0.05,30.31,31.66,0.66,2.02,0.4,16.3,388.76
2020,4,25,-258.48,38.0,23.33,8.18,31.06,0.1,30.97,32.4,0.49,1.44,0.29,11.93,406.47
2020,4,26,-259.88,36.72,23.45,9.28,37.06,14.46,30.23,31.69,0.42,1.33,0.27,10.61,411.66
2020,4,27,-260.59,34.26,21.69,12.21,55.38,3.05,27.75,29.55,0.52,1.59,0.32,12.95,404.91
2020,4,28,-261.16,34.07,22.08,11.78,51.06,6.0,28.21,29.68,0.55,1.71,0.34,13.98,405.06
2020,4,29,-260.35,35.64,22.84,11.11,45.31,0.05,29.31,31.51,0.63,2.09,0.41,16.27,402.36
2020,4,30,-258.99,37.63,23.47,11.41,43.5,1.48,30.69,32.54,0.53,1.65,0.32,12.92,418.4
2020,5,1,-259.22,38.25,24.33,11.96,44.88,1.06,31.02,33.01,0.61,1.85,0.37,15.09,414.25
2020,5,2,-258.48,38.33,23.66,12.21,45.5,0.0,31.13,33.29,0.64,2.12,0.41,16.35,407.3
2020,5,3,-259.74,38.01,24.61,12.45,45.56,0.67,31.19,33.57,0.57,2.05,0.4,15.17,418.43
2020,5,4,-261.18,35.73,23.76,14.22,55.88,11.54,30.0,31.94,0.55,1.8,0.35,13.91,423.9
2020,5,5,-260.83,36.07,23.74,13.24,51.44,2.16,30.15,32.06,0.48,1.62,0.32,12.6,410.26
2020,5,6,-260.76,37.65,25.25,12.08,45.81,0.96,30.66,33.19,0.62,2.02,0.4,15.93,402.7
2020,5,7,-259.33,36.73,22.9,11.96,50.19,6.69,29.23,31.19,0.69,2.3,0.45,18.09,392.19
2020,5,8,-255.97,39.49,22.31,11.17,43.0,0.27,30.9,32.98,0.7,2.27,0.45,18.18,387.46
2020,5,9,-256.87,40.22,23.94,11.23,40.62,0.0,32.06,34.52,0.66,2.16,0.42,17.1,404.56
2020,5,10,-256.92,41.2,24.97,11.35,40.0,0.05,32.7,34.93,0.52,1.68,0.33,12.95,423.62
2020,5,11,-258.82,37.87,23.54,12.27,48.25,6.57,30.44,32.37,0.67,2.18,0.43,17.5,402.1
2020,5,12,-258.43,38.94,24.23,11.41,41.19,0.13,31.87,33.52,0.54,1.76,0.35,13.7,417.95
2020,5,13,-260.14,39.46,26.45,11.29,38.44,0.01,32.58,34.47,0.53,1.95,0.38,13.89,432.56
2020,5,14,-259.24,39.74,25.83,12.33,41.0,0.84,32.93,34.52,0.62,2.23,0.43,16.38,428.48
2020,5,15,-258.02,42.16,27.03,11.29,34.81,0.0,34.46,35.78,0.64,2.27,0.44,16.62,425.27
2020,5,16,-256.81,41.65,25.32,8.18,28.0,0.0,33.26,34.44,0.68,-999.0,0.48,18.48,406.0
2020,5,17,-254.53,42.75,24.13,8.24,27.25,0.0,33.86,34.83,0.71,2.63,0.51,18.93,400.2
2020,5,18,-258.01,42.64,27.49,8.73,26.75,0.0,34.83,36.14,0.66,2.39,0.46,17.44,408.49
2020,5,19,-254.85,42.23,23.92,7.08,24.88,0.05,33.4,34.62,0.7,2.57,0.49,18.18,384.79
2020,5,20,-255.47,41.98,24.3,6.59,22.56,0.0,33.43,34.47,0.7,2.49,0.48,17.95,378.6
2020,5,21,-254.77,42.68,24.3,5.98,20.25,0.0,33.65,34.38,0.71,2.67,0.51,18.42,400.4
2020,5,22,-254.49,44.62,25.96,7.26,21.94,0.0,35.01,36.69,0.69,2.62,0.49,17.63,412.88
2020,5,23,-254.49,45.85,27.19,7.93,21.81,0.0,37.38,38.9,0.67,2.53,0.48,17.44,415.9
2020,5,24,-256.42,46.69,29.97,7.57,19.88,0.0,38.03,39.24,0.61,2.29,0.44,15.56,435.56
2020,5,25,-255.6,46.1,28.55,7.39,19.5,0.0,37.49,39.15,0.7,2.77,0.53,18.76,425.11
2020,5,26,-255.06,47.37,29.28,7.32,18.81,0.0,38.38,40.1,0.62,2.41,0.47,16.75,439.13
2020,5,27,-255.08,47.3,29.22,8.12,20.94,0.0,38.37,40.68,0.62,2.32,0.45,16.27,445.23
2020,5,28,-260.1,42.19,29.13,11.29,31.56,0.01,35.78,38.39,0.52,1.99,0.39,14.14,450.08
2020,5,29,-261.66,40.37,28.87,11.17,33.25,1.87,34.58,37.46,0.53,1.98,0.38,14.24,440.17
2020,5,30,-261.83,39.26,27.94,11.23,35.19,2.4,33.62,36.0,0.16,0.62,0.12,4.38,456.8
2020,5,31,-267.26,31.32,25.43,13.67,54.56,12.57,28.9,29.45,0.41,1.62,0.31,11.33,450.87
2020,6,1,-259.86,37.33,24.05,13.24,49.31,0.04,30.94,33.73,0.56,1.98,0.38,14.44,454.01
2020,6,2,-259.68,39.06,25.59,12.27,40.75,0.01,32.9,35.66,0.63,2.38,0.46,16.94,437.52
2020,6,3,-261.63,38.69,27.18,12.39,39.19,0.15,33.45,36.12,0.49,2.03,0.39,13.86,449.73
2020,6,4,-265.56,32.98,25.38,13.67,52.12,2.41,29.71,30.93,0.19,0.88,0.17,6.08,447.44
2020,6,5,-265.81,31.63,24.29,14.65,62.56,4.63,27.79,30.04,0.18,0.92,0.18,6.09,453.49
2020,6,6,-261.55,35.41,23.81,13.37,51.19,0.01,30.2,33.32,0.62,2.54,0.48,17.34,440.19
2020,6,7,-261.35,38.86,27.07,12.57,39.88,0.0,33.37,36.47,0.61,2.42,0.46,16.3,436.8
2020,6,8,-261.78,40.44,29.08,13.18,38.38,0.0,34.94,37.68,0.58,2.17,0.41,15.41,447.65
2020,6,9,-261.08,41.33,29.26,13.0,36.38,0.0,35.61,39.44,0.59,2.21,0.42,15.62,458.13
2020,6,10,-259.77,42.47,29.1,12.7,34.62,0.0,36.33,39.82,0.56,2.09,0.4,14.7,470.41
2020,6,11,-262.5,41.74,31.08,13.92,36.75,2.33,36.51,39.27,0.42,1.53,0.3,11.03,466.02
2020,6,12,-262.7,41.67,31.22,14.28,37.12,0.31,36.73,39.84,0.55,2.15,0.41,14.8,456.3
2020,6,13,-263.41,40.87,31.13,15.44,40.75,0.09,36.24,39.52,0.54,2.09,0.41,14.89,445.78
2020,6,14,-264.73,39.62,31.2,16.36,44.94,0.68,35.58,39.24,0.51,2.12,0.41,14.61,448.19
2020,6,15,-263.7,40.75,31.3,16.05,44.0,1.15,35.69,39.34,0.57,2.38,0.45,16.31,445.55
2020,6,16,-259.96,42.19,29.0,14.59,42.25,0.02,35.79,40.05,0.62,2.49,0.48,17.55,455.09
2020,6,17,-263.25,38.63,28.73,16.72,51.62,3.49,33.86,37.07,0.34,1.57,0.3,10.87,467.3
2020,6,18,-263.63,38.86,29.33,17.7,52.75,2.22,34.19,37.6,0.41,1.97,0.38,12.9,456.37
2020,6,19,-261.92,40.44,29.21,16.78,49.31,2.2,34.8,38.29,0.52,2.16,0.41,14.62,458.57
2020,6,20,-260.44,41.99,29.27,17.09,50.38,2.62,35.14,38.69,0.51,2.02,0.39,14.06,455.98
2020,6,21,-263.63,36.97,27.45,17.82,59.12,7.87,32.31,35.07,0.45,1.96,0.38,13.51,456.99
2020,6,22,-264.76,36.9,28.51,17.15,56.38,4.44,32.32,35.02,0.45,2.02,0.39,13.85,451.99
2020,6,23,-265.2,35.51,27.56,19.17,68.0,5.0,30.9,32.38,0.41,2.07,0.4,12.96,446.55
2020,6,24,-263.75,36.98,27.58,19.29,63.81,2.34,32.31,34.3,0.4,1.84,0.36,12.44,448.3
2020,6,25,-266.92,35.21,28.98,20.45,67.69,14.34,31.97,33.24,0.3,1.37,0.27,9.45,445.55
2020,6,26,-262.54,39.52,28.9,18.31,57.06,1.78,33.55,35.1,0.48,1.9,0.37,12.99,448.7
2020,6,27,-265.74,36.6,29.19,20.26,65.06,32.19,32.65,32.89,0.39,1.34,0.26,9.58,463.1
2020,6,28,-260.72,40.94,28.51,18.43,55.06,5.85,34.72,35.26,0.47,1.8,0.35,12.55,464.88
2020,6,29,-264.42,37.13,28.4,19.84,65.5,9.36,32.3,33.89,0.32,1.16,0.23,8.28,455.86
2020,6,30,-264.63,35.37,26.85,18.8,66.19,0.21,31.2,33.32,0.53,2.06,0.4,14.45,444.31
2020,7,1,-263.77,37.12,27.75,18.8,61.56,0.0,32.49,35.19,0.52,2.08,0.4,14.0,451.77
2020,7,2,-263.08,38.37,28.3,18.25,55.81,1.57,33.72,36.12,0.52,2.03,0.39,13.94,453.53
2020,7,3,-264.96,37.65,29.47,20.14,61.69,10.3,33.51,35.01,0.24,0.9,0.18,6.88,452.06
2020,7,4,-266.7,35.01,28.55,21.12,71.62,5.66,31.57,32.31,0.41,1.62,0.31,10.85,445.98
2020,7,5,-268.52,32.01,27.4,20.51,76.94,12.21,29.83,30.45,0.38,1.6,0.31,10.66,444.47
2020,7,6,-265.47,34.62,26.94,20.51,75.38,13.48,30.3,31.39,0.3,1.47,0.28,9.46,441.59
2020,7,7,-270.06,30.28,27.19,21.24,87.12,25.71,28.2,28.25,0.17,0.98,0.19,6.23,438.87
2020,7,8,-267.63,32.08,26.56,21.24,84.19,4.76,28.88,29.3,0.45,2.14,0.41,13.52,444.93
2020,7,9,-266.93,32.67,26.46,21.24,81.75,7.68,29.34,29.58,0.39,1.74,0.34,11.55,447.91
2020,7,10,-263.73,37.8,28.37,20.32,66.81,0.84,32.4,32.58,0.37,1.63,0.31,10.39,449.03
2020,7,11,-262.99,37.96,27.8,20.57,66.38,5.15,32.78,33.21,0.41,1.56,0.3,10.87,452.76
2020,7,12,-266.96,33.84,27.65,21.24,75.44,2.07,30.72,31.15,0.51,2.04,0.39,13.59,441.66
2020,7,13,-264.88,36.24,27.97,20.69,69.81,2.03,31.85,32.21,0.54,2.26,0.43,14.66,436.76
2020,7,14,-265.8,35.19,27.84,19.29,67.38,0.82,31.29,31.65,0.35,1.29,0.25,8.98,444.22
2020,7,15,-267.45,32.6,26.91,20.02,76.06,1.79,29.62,30.36,0.42,1.67,0.32,11.49,444.53
2020,7,16,-265.02,33.87,25.75,20.39,78.12,3.85,29.57,30.48,0.47,2.12,0.41,13.87,450.07
2020,7,17,-263.95,35.42,26.23,20.94,75.25,5.99,30.77,31.82,0.54,2.38,0.45,15.54,453.73
2020,7,18,-263.77,36.3,26.92,21.24,74.62,18.98,31.26,32.37,0.39,1.75,0.34,11.58,450.71
2020,7,19,-266.02,34.26,27.12,23.07,82.06,14.92,30.69,30.84,0.33,1.34,0.26,8.84,447.43
2020,7,20,-266.99,33.71,27.55,22.46,82.31,9.7,30.14,29.93,0.38,1.36,0.27,9.55,444.57
2020,7,21,-265.74,34.15,26.75,21.79,80.5,12.35,30.18,30.23,0.42,1.75,0.34,11.69,443.32
2020,7,22,-265.49,33.8,26.13,21.48,81.81,17.54,29.63,29.93,0.46,2.12,0.41,13.08,438.37
2020,7,23,-265.18,33.74,25.78,20.45,78.56,3.78,29.58,30.4,0.54,2.27,0.43,14.98,440.49
